gid,STD_YM,dup_fac_cnt,fac_name_1,fac_func_1,fac_name_2,fac_func_2,fac_name_3,fac_func_3,fac_name_4,fac_func_4,fac_name_5,fac_func_5,fac_name_6,fac_func_6,fac_name_7,fac_func_7,fac_name_8,fac_func_8,fac_name_9,fac_func_9,fac_name_10,fac_func_10,fac_name_11,fac_func_11,fac_name_12,fac_func_12,fac_name_13,fac_func_13,fac_name_14,fac_func_14,fac_name_15,fac_func_15,fac_name_16,fac_func_16,fac_name_17,fac_func_17,dup_fac_pop
마라322769,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라322770,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라322771,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라322772,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라322773,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라322774,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라322775,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라322776,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323764,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323765,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323766,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323767,202510,5,새벽시장,상업,사하구청 제2청사,주거의료교육,르네시떼,상업,부산진구 생활문화센터,교육여가,사상 보건소,주거의료,당감사회복지관,주거,장림2동 행정복지센터,주거여가,동매누리 작은도서관,교육,이마트 사상점,상업,수풀작은도서관,교육,사상평생학습관,교육,개금테마공원,여가,동매산둘레길,여가,신남초등학교,여가,무지개작은도서관,교육,장림 롯데마트,상업,효림초등학교,여가,1890.0
마라323768,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323769,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323770,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323771,202510,5,사하구청 제2청사,주거의료교육,한국신발관,여가,동매산둘레길,여가,장림 롯데마트,상업,동매누리행복센터,주거의료,르네시떼,상업,이마트 사상점,상업,사상인디스테이션,여가,무지개작은도서관,교육,동매누리 작은도서관,교육,부산진구 생활문화센터,교육여가,사상 보건소,주거의료,신평골목시장,상업,애플 아울렛 서부시외버스터미널,상업,하하센터,여가,보림공원,여가,장림생태공원,여가,822.5
마라323772,202510,5,개성고등학교,여가,장림2동 행정복지센터,주거여가,신남초등학교,여가,사상평생학습관,교육,사상 보건소,주거의료,장림 롯데마트,상업,르네시떼,상업,당감골목시장,상업,하하센터,여가,수풀작은도서관,교육,애플 아울렛 서부시외버스터미널,상업,새벽시장,상업,보림공원,여가,장림공원,여가,동매누리행복센터,주거의료,부산진구 어린이청소년 도서관,주거교육,신평골목시장,상업,3118.5
마라323773,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323774,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323775,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323776,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323777,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라323778,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324762,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324763,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324764,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324765,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324766,202510,4,동매누리 작은도서관,교육,신평골목시장,상업,동매누리행복센터,주거의료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
마라324767,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324768,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324769,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324770,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324771,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324772,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324773,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324774,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324775,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324776,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324777,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324778,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
마라324779,202510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
